n	i	Nsites	phi
63	16	5	0.0837765957446809
63	13	10	0.0969230769230769
63	23	5	0.0684782608695652
63	29	7	0.063894523326572
63	27	9	0.0648148148148148
63	25	10	0.0663157894736842
63	28	5	0.0642857142857143
63	9	14	0.12962962962963
63	12	3	0.102941176470588
63	15	12	0.0875
63	14	14	0.0918367346938775
63	20	16	0.0732558139534884
63	8	8	0.143181818181818
63	24	10	0.0673076923076923
63	10	8	0.118867924528302
63	19	4	0.0753588516746412
63	31	8	0.063508064516129
26	6	1057	0.216666666666667
26	11	1027	0.157575757575758
26	3	1281	0.376811594202899
26	7	997	0.195488721804511
26	9	978	0.169934640522876
26	12	1001	0.154761904761905
26	8	1032	0.180555555555556
26	4	1113	0.295454545454545
26	13	514	0.0769230769230769
26	10	1008	0.1625
26	5	1013	0.247619047619048
80	35	4	0.0507936507936508
80	33	1	0.0515796260477112
80	26	1	0.056980056980057
80	17	1	0.0746965452847806
80	16	1	0.078125
80	23	1	0.061022120518688
80	13	2	0.0918484500574053
80	25	2	0.0581818181818182
80	28	3	0.0549450549450549
80	36	1	0.0505050505050505
80	9	1	0.125195618153365
80	20	1	0.0666666666666667
80	15	2	0.0820512820512821
80	14	1	0.0865800865800866
80	38	2	0.050125313283208
80	34	1	0.051150895140665
80	24	1	0.0595238095238095
80	37	1	0.0502828409805154
80	10	1	0.114285714285714
80	31	1	0.0526662277814351
119	53	1	0.034019439679817
119	17	1	0.0686274509803922
99	12	1	0.0948275862068965
99	38	1	0.042709232096635
99	18	1	0.0679012345679012
99	49	1	0.0404081632653061
99	46	1	0.0406070549630845
99	24	1	0.055
99	30	1	0.0478260869565217
99	29	1	0.0487684729064039
72	32	5	0.05625
72	33	2	0.0559440559440559
72	21	1	0.0672268907563025
72	26	5	0.0602006688963211
72	17	5	0.0770053475935829
72	18	5	0.0740740740740741
72	30	5	0.0571428571428571
72	16	4	0.0803571428571428
72	25	2	0.0612765957446808
72	27	3	0.0592592592592593
72	28	4	0.0584415584415584
72	14	2	0.0886699507389163
72	20	3	0.0692307692307692
72	24	4	0.0625
72	10	1	0.116129032258065
72	31	4	0.0566483084185681
72	35	2	0.0555984555984556
72	11	3	0.107302533532042
72	22	3	0.0654545454545455
72	23	2	0.0638864241348713
72	13	1	0.0938722294654498
72	29	3	0.057738572574178
72	36	2	0.0277777777777778
72	9	9	0.126984126984127
72	12	2	0.1
72	15	5	0.0842105263157895
72	8	4	0.140625
72	34	1	0.0557275541795666
74	35	3	0.0542124542124542
74	33	1	0.0546932742054693
74	32	5	0.0550595238095238
74	11	3	0.106782106782107
74	21	2	0.0664869721473495
74	17	2	0.0763673890608875
74	22	2	0.0646853146853147
74	30	3	0.0560606060606061
74	16	1	0.0797413793103448
74	23	2	0.0630861040068201
74	13	2	0.0933165195460278
74	29	2	0.0567049808429119
74	27	4	0.0583136327817179
74	25	3	0.0604081632653061
74	28	3	0.0574534161490683
74	36	1	0.054093567251462
74	9	4	0.126495726495726
74	12	3	0.0994623655913978
74	15	1	0.0836158192090395
74	14	1	0.0880952380952381
74	20	1	0.0685185185185185
74	8	6	0.140151515151515
74	34	3	0.0544117647058824
